1,Houston Police Department,9160 Bellaire Blvd F,(832) 394-2780
2,Houston Police Department,3203 S Dairy Ashford Rd,(713) 884-3131
3,Houston Police Department,8605 Westplace Dr,(832) 394-4700
4,Memorial Villages Police Department,11981 Memorial Dr,(713) 365-3700
5,Houston Police Department,5600 S Willow Dr #116,(713) 726-7126
6,HPD Midwest Patrol Station,7277 Regency Square Blvd,(832) 394-1200
7,Houston Police Department,2202 St Emanuel St,(832) 394-0200
8,Houston Police Department Headquarters,1200 Travis St,(713) 884-3131
9,West University Place Police Department,3800 University Blvd, West University Place, TX 77005,(713) 668-0330
10,Houston Police Department - Central Patrol Station,61 Riesner St, Houston, TX 77002,(713) 247-4400
 
